n, time_ns, comparisons, allocations, max_recursion_depth
6310, 581400, 88321, 52534, 9
6320, 618300, 90713, 48134, 8
6330, 612900, 92021, 57380, 8
6340, 610200, 90373, 56037, 8
6350, 599000, 89672, 51721, 9
6360, 615500, 89084, 53866, 8
6370, 582000, 98276, 63124, 8
6380, 480500, 92703, 54766, 8
6390, 549500, 87959, 54127, 8
6400, 480300, 99057, 64337, 8
6410, 488900, 93857, 58641, 9
6420, 523500, 100582, 70084, 7
6430, 588600, 96261, 56898, 8
6440, 504800, 98644, 65309, 8
6450, 496400, 94742, 53788, 8
6460, 574000, 101143, 61847, 8
6470, 524400, 94814, 59302, 8
6480, 542900, 93139, 57614, 8
6490, 488400, 100645, 59535, 8
6500, 497900, 90767, 57013, 8
6510, 484700, 93704, 59209, 8
6520, 469600, 99976, 57077, 8
6530, 484900, 93367, 58088, 8
6540, 472500, 109685, 61776, 7
6550, 466600, 96435, 54085, 8
6560, 469700, 101602, 58254, 8
6570, 477800, 103178, 62641, 7
6580, 561900, 98719, 61583, 8
6590, 621100, 99444, 54347, 8
6600, 517200, 100873, 65696, 8
6610, 656500, 95091, 57486, 8
6620, 557100, 101058, 58735, 8
6630, 617000, 102098, 58386, 7
6640, 604500, 100757, 61969, 8
6650, 641200, 96630, 57724, 8
6660, 617400, 93724, 55770, 8
6670, 585600, 101051, 62234, 9
6680, 633600, 92006, 53922, 7
6690, 524300, 98529, 56787, 7
6700, 494700, 97563, 65050, 8
6710, 659600, 102890, 56698, 8
6720, 505500, 96667, 58731, 8
6730, 624100, 109740, 67866, 9
6740, 534200, 106299, 65970, 8
6750, 599900, 93912, 55124, 8
6760, 619400, 100732, 60759, 8
6770, 632600, 96802, 58286, 8
6780, 632000, 100420, 55595, 8
6790, 612900, 98365, 57667, 8
6800, 512400, 104421, 58958, 8
6810, 530100, 106349, 63895, 8
6820, 513000, 99016, 53856, 8
6830, 532700, 101511, 65643, 8
6840, 548500, 97596, 53837, 8
6850, 495100, 103888, 64040, 8
6860, 502900, 103888, 69792, 8
6870, 512200, 101879, 62874, 8
6880, 509900, 99059, 57949, 8
6890, 632400, 107935, 62028, 8
6900, 554600, 107994, 71421, 7
6910, 552200, 97751, 60510, 8
6920, 531500, 105147, 66338, 8
6930, 539900, 104663, 65389, 8
6940, 509400, 105452, 61706, 8
6950, 545100, 102124, 67911, 8
6960, 510700, 100274, 55055, 8
6970, 552100, 102087, 61780, 8
6980, 670500, 99286, 59078, 8
6990, 607800, 99265, 61075, 8
7000, 614200, 103855, 58030, 8
7010, 628300, 99324, 61285, 8
7020, 683100, 101547, 59464, 9
7030, 635900, 106993, 62177, 8
7040, 524500, 103714, 65468, 8
7050, 508600, 108641, 57817, 8
7060, 575400, 108611, 66572, 8
7070, 594400, 102967, 59659, 7
7080, 520000, 119078, 65159, 8
7090, 580900, 107989, 63738, 8
7100, 654400, 98708, 60883, 9
7110, 684300, 107768, 67628, 8
7120, 703300, 109673, 74634, 8
7130, 702300, 107213, 65709, 9
7140, 691300, 108006, 60049, 9
7150, 682400, 99940, 61143, 9
7160, 696400, 103525, 58889, 8
7170, 714300, 102623, 62712, 8
7180, 624500, 103471, 67056, 8
7190, 693000, 107831, 65059, 8
7200, 667300, 105971, 56706, 8
7210, 716500, 104114, 60193, 8
7220, 715100, 103452, 64882, 9
7230, 717400, 106102, 61236, 8
7240, 713100, 112105, 65330, 8
7250, 723600, 105119, 62998, 8
7260, 697900, 99565, 61296, 9
7270, 712900, 107794, 68388, 8
7280, 663300, 112313, 60703, 8
7290, 668300, 106799, 67319, 9
7300, 640500, 108813, 65269, 8
7310, 600000, 104301, 64197, 9
7320, 675000, 109604, 58525, 8
7330, 594600, 105632, 65821, 9
7340, 610600, 108121, 66775, 7
7350, 680800, 110030, 63899, 8
7360, 694100, 109425, 66543, 8
7370, 711000, 113062, 65594, 9
7380, 723300, 108083, 65430, 8
7390, 705100, 123429, 65477, 8
7400, 681800, 106346, 64054, 9
7410, 888700, 120170, 68811, 8
7420, 708900, 121241, 69238, 8
7430, 711400, 106829, 66195, 10
7440, 720500, 108192, 63613, 9
7450, 900700, 112720, 68848, 8
7460, 745500, 114699, 69487, 8
7470, 697800, 104681, 66829, 9
7480, 707100, 116334, 62172, 9
7490, 723200, 112752, 67720, 8
7500, 705400, 101111, 59445, 8
7510, 725500, 118267, 62533, 8
7520, 746300, 109989, 63172, 8
7530, 745500, 110551, 68720, 9
7540, 739800, 121682, 76965, 8
7550, 723800, 108501, 69842, 9
7560, 859000, 112593, 65903, 9
7570, 708300, 114834, 71447, 8
7580, 708500, 117618, 75979, 8
7590, 728100, 110670, 63296, 9
7600, 853400, 115198, 69035, 8
7610, 726000, 112042, 66907, 8
7620, 728500, 120425, 67271, 9
7630, 714600, 117231, 64546, 8
7640, 703200, 124262, 73728, 8
7650, 681700, 115712, 66798, 8
7660, 695100, 114157, 74317, 8
7670, 746500, 111578, 68498, 8
7680, 692700, 121946, 75673, 8
7690, 699200, 114207, 70425, 9
7700, 751600, 114677, 73573, 8
7710, 742100, 106956, 63982, 9
7720, 726200, 113392, 65472, 9
7730, 735900, 129462, 80235, 8
7740, 689500, 112379, 64110, 8
7750, 787200, 113428, 70106, 8
7760, 777200, 117917, 71380, 8
7770, 781800, 126172, 70425, 8
